source,target,count,prob_given_source,target_predecessor_share,reverse_count,asymmetry_count,asymmetry_ratio,expected_independent,lift,book,run_label,stream_type
merkha,tipeha,985,0.61678147,0.53128371,374,611,2.63368984,214.755784,4.586605,deuteronomy,explore_k3_7_edges20,core_adjacent
meteg,sof_pasuq,943,0.5438293,0.98950682,124,819,7.60483871,119.859433,7.867549,deuteronomy,explore_k3_7_edges20,core_adjacent
munah,zaqef_qatan,790,0.4619883,0.61335404,68,722,11.61764706,159.75049,4.945212,deuteronomy,explore_k3_7_edges20,core_adjacent
tipeha,meteg,593,0.31984898,0.33693182,101,492,5.87128713,236.675129,2.505544,deuteronomy,explore_k3_7_edges20,core_adjacent
pashta,munah,566,0.46584362,0.34407295,5,561,113.2,144.968086,3.904308,deuteronomy,explore_k3_7_edges20,core_adjacent
tipeha,atnah,513,0.27669903,0.5625,89,424,5.76404494,122.640749,4.182949,deuteronomy,explore_k3_7_edges20,core_adjacent
mahapakh,pashta,487,0.84991274,0.40281224,15,472,32.46666667,50.247117,9.692098,deuteronomy,explore_k3_7_edges20,core_adjacent
zaqef_qatan,tipeha,463,0.36543015,0.24973031,0,463,inf,170.379198,2.717468,deuteronomy,explore_k3_7_edges20,core_adjacent
merkha,meteg,436,0.2730119,0.24772727,93,343,4.68817204,203.867411,2.138645,deuteronomy,explore_k3_7_edges20,core_adjacent
zaqef_qatan,merkha,416,0.32833465,0.26147077,0,416,inf,146.20998,2.845223,deuteronomy,explore_k3_7_edges20,core_adjacent
tipeha,merkha,374,0.201726,0.23507228,985,-611,0.37969543,213.948937,1.748081,deuteronomy,explore_k3_7_edges20,core_adjacent
tipeha,munah,368,0.19848975,0.22370821,1,367,368.0,221.210561,1.663573,deuteronomy,explore_k3_7_edges20,core_adjacent
pashta,zaqef_qatan,364,0.29958848,0.2826087,42,322,8.66666667,113.506927,3.206853,deuteronomy,explore_k3_7_edges20,core_adjacent
munah,atnah,360,0.21052632,0.39473684,151,209,2.38410596,113.115253,3.182595,deuteronomy,explore_k3_7_edges20,core_adjacent
tevir,merkha,318,0.66666667,0.19987429,112,206,2.83928571,55.045115,5.777079,deuteronomy,explore_k3_7_edges20,core_adjacent
munah,revia,269,0.15730994,0.53057199,29,240,9.27586207,62.883151,4.277775,deuteronomy,explore_k3_7_edges20,core_adjacent
qadma,geresh,202,0.45909091,0.83127572,9,193,22.44444444,7.755132,26.047269,deuteronomy,explore_k3_7_edges20,core_adjacent
sof_pasuq,munah,200,0.2283105,0.12158055,0,200,inf,104.5202,1.913506,deuteronomy,explore_k3_7_edges20,core_adjacent
pashta,pashta,194,0.15967078,0.16046319,194,0,1.0,106.544934,1.820828,deuteronomy,explore_k3_7_edges20,core_adjacent
darga,tevir,161,0.77033493,0.33823529,2,159,80.5,7.215783,22.312201,deuteronomy,explore_k3_7_edges20,core_adjacent
atnah,munah,151,0.17456647,0.09179331,360,-209,0.41944444,103.207732,1.463069,deuteronomy,explore_k3_7_edges20,core_adjacent
meteg,pashta,148,0.08535179,0.12241522,63,85,2.34920635,152.05672,0.973321,deuteronomy,explore_k3_7_edges20,core_adjacent
atnah,merkha,145,0.16763006,0.09113765,3,142,48.33333333,99.819758,1.452618,deuteronomy,explore_k3_7_edges20,core_adjacent
tevir,tipeha,139,0.29140461,0.07497303,0,139,inf,64.144339,2.166988,deuteronomy,explore_k3_7_edges20,core_adjacent
revia,pashta,126,0.27096774,0.10421836,0,126,inf,40.776456,3.090018,deuteronomy,explore_k3_7_edges20,core_adjacent
sof_pasuq,meteg,124,0.14155251,0.07045455,943,-819,0.13149523,111.827083,1.108855,deuteronomy,explore_k3_7_edges20,core_adjacent
sof_pasuq,merkha,120,0.1369863,0.07542426,3,117,40.0,101.089142,1.187071,deuteronomy,explore_k3_7_edges20,core_adjacent
merkha,tevir,112,0.0701315,0.23529412,318,-206,0.35220126,55.136868,2.031309,deuteronomy,explore_k3_7_edges20,core_adjacent
meteg,zaqef_qatan,110,0.06343714,0.08540373,81,29,1.35802469,161.992602,0.679043,deuteronomy,explore_k3_7_edges20,core_adjacent
telisha_qetana,qadma,109,0.92372881,0.28534031,0,109,inf,3.269457,33.338872,deuteronomy,explore_k3_7_edges20,core_adjacent
munah,meteg,108,0.06315789,0.06136364,58,50,1.86206897,218.292594,0.494749,deuteronomy,explore_k3_7_edges20,core_adjacent
